TesterID:	Maccor#2				
Channel Number:	47				
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000				
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t				
StartDateTime:	44888,6351560069				
Comment:					
					
					
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	Date
79	0,406636329633	0,406342716543	1,568348000881	1,469104388487	44900,4962874306
80	0,406378314931	0,406110187275	1,567344409929	1,468233678777	44900,6008804167
81	0,406176176103	0,405837653304	1,566572888473	1,467281410342	44900,7054031481
82	0,405925779041	0,405730443414	1,565627589774	1,466829968658	44900,8100028241
83	0,405763957226	0,405516049495	1,565082742762	1,466034541779	44900,9145184954
84	0,405576481025	0,405328764712	1,56438392094	1,465359892096	44901,0189450116
85	0,405376433011	0,405160888133	1,563631624967	1,464736821476	44901,1232661574
86	0,405245816442	0,405014883031	1,563145181438	1,464220876917	44901,2276609954
87	0,4050925999	0,404867683273	1,562578954046	1,463675526651	44901,3320540046
88	0,40491359307	0,404702342022	1,561897664778	1,463111074549	44901,4364004051
89	0,404747059507	0,404560256583	1,561253611324	1,462572144648	44901,5406010764
90	0,40463731983	0,404435001418	1,560831130652	1,462131764579	44901,644863044
91	0,404454213634	0,404270938323	1,560138524012	1,461547446824	44901,7489744444
92	0,404358440925	0,404155971977	1,559739734136	1,461131442221	44901,8530722338
93	0,404202105677	0,40400098821	1,55912838309	1,460558337826	44901,9570808681
94	0,404089264505	0,403896386769	1,558711637429	1,460196725261	44902,0611646759
95	0,403957821764	0,403768489249	1,55822659952	1,459733524357	44902,1652910532
96	0,403807411261	0,40361864947	1,557649439865	1,459183062677	44902,2692829861
97	0,403673882235	0,403472724901	1,55714216181	1,458686837287	44902,3732911806
98	0,403581071221	0,403464937925	1,556850487876	1,458774093634	44902,4772512963
99	0,403512016007	0,403355147779	1,556381341186	1,458347064499	44902,5811619676
100	0,403402755418	0,40323232092	1,555959004317	1,457882486217	44902,6849993634
101	0,40326053285	0,403109778895	1,555419242545	1,457432690291	44902,7887126042
102	0,403178272751	0,403005107303	1,555105339157	1,457058053753	44902,8924518634
103	0,403046119432	0,402884973024	1,554640105653	1,456596469768	44902,9961943056
104	0,402956454974	0,402797145484	1,554312258915	1,456272655419	44903,0999621759
105	0,402859004025	0,402710603729	1,553963468148	1,455953052679	44903,2038351736
106	0,402726353791	0,40256593358	1,55344612331	1,455402749158	44903,3075061343
107	0,40262143412	0,402476779564	1,553072722207	1,45507513028	44903,411285081
108	0,402493435453	0,402332124674	1,552587864971	1,454551980173	44903,5148857755
109	0,402446192295	0,402283085355	1,552354643306	1,454375331779	44903,6185013542
110	0,402277651566	0,402126753285	1,551752834768	1,453779883955	44903,7219419329
111	0,402214311759	0,402081572382	1,551530008205	1,453623366053	44903,8255179745
112	0,402130472271	0,401973049158	1,55121744699	1,453212286239	44903,929165706
113	0,402014609426	0,401850320848	1,550782986457	1,45275538493	44904,0327280093
114	0,40188289853	0,401747053297	1,550287040312	1,452361637767	44904,1362424537
115	0,401789075036	0,401638561438	1,549937831566	1,451965030074	44904,2397504282
116	0,401706196886	0,401562346015	1,54963105663	1,451699042666	44904,3433062616
117	0,401545601061	0,401394434893	1,549051411138	1,45106308578	44904,4468166898
118	0,401512617951	0,40137122825	1,548857611329	1,450931522352	44904,5502731018
119	0,401498497061	0,401365987837	1,548857414912	1,450900523544	44904,6539793171
120	0,401380393741	0,401252375519	1,548412730055	1,450564069967	44904,7574873843
121	0,401214817328	0,401071545301	1,547757774221	1,44986428456	44904,860883287
122	0,401098022898	0,400953978563	1,547322570877	1,449422945105	44904,9641946759
123	0,400986277124	0,400835160798	1,546899985962	1,448988005836	44905,0674417361
124	0,400896442021	1,3362E-8	1,546571755929	4,2658E-8	44905,1777378356
125	6,45329467714453E-12	0,231037819004	2,41480861124105E-11	0,810764792341	44905,4420018171
126	0,407279670838	0,401297512132	1,568539050783	1,450592674104	44905,5461713079
127	0,401353980771	0,401052151082	1,548247991409	1,449715065756	44905,6495681944
128	0,4011115736	0,400871309846	1,547328567374	1,449069248175	44905,7529816667
