TesterID:	Maccor#2														
Channel Number:	58														
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000														
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t														
StartDateTime:	44776,6651497338														
Comment:															
															
									Charge			Discharge			
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	ACR	DCIR	V1_Start	V1_End	V1_Min	V1_Max	V1_Start	V1_End	V1_Min	V1_Max	Date
0		3,86361E-7		8,7087E-8	0	0					-0,000688148604240268	-0,00084642181172967	-0,00084642181172967	-0,000529875338543206	44778,6669962963
1	0,508269119828	0,424851109032	1,90081258337	1,544181936396	0	0	-0,000688148604240268	-0,000688148604240268	-0,00116296834312379	-0,000371602072846144	-0,00084642181172967	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	44779,0920857292
2	0,426076389868	0,426097830034	1,60801750091	1,547384645371	0	0	-0,00084642181172967	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	-0,00084642181172967	-0,000688148604240268	-0,00116296834312379	-0,000529875338543206	44779,4892282292
3	0,453108687607	2,86966E-7	1,718129017955	9,28675E-7	0	0	-0,00100469507742673	-0,00100469507742673	-0,00100469507742673	-0,000529875338543206	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	44779,9818136574
4	6,35792579029017E-14	2,89495E-7	2,41142295633559E-13	9,49115E-7	0,09647539258	0,233875215054	-0,00100469507742673	-0,00084642181172967	-0,00100469507742673	-0,000688148604240268	-0,00084642181172967	-0,000688148604240268	-0,00116296834312379	-0,000529875338543206	44780,3018030787
5	0,442028194511	0,441661355303	1,690091897424	1,603894042938	0,09647539258	0,233875215054	-0,00084642181172967	-0,00100469507742673	-0,00116296834312379	-0,000529875338543206	-0,00084642181172967	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	44780,5761734028
6	0,441805698755	0,44123860198	1,688343165724	1,602210605973	0,09647539258	0,233875215054	-0,00084642181172967	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	-0,00084642181172967	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	44780,8568202199
7	0,433392606035	0,433163730067	1,65345271505	1,570144295252	0,09647539258	0,233875215054	-0,00084642181172967	-0,00100469507742673	-0,00100469507742673	-0,000529875338543206	-0,00084642181172967	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	44781,1170381713
8	0,440090084946	0,396167252239	1,681397291621	1,395484586128	0,09647539258	0,233875215054	-0,000688148604240268	-0,00100469507742673	-0,00100469507742673	-0,000529875338543206	-0,00084642181172967	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	44781,3132532292
9	0,394270076207	0,394430848456	1,517062541537	1,389741699781	0,09647539258	0,233875215054	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	-0,000688148604240268	-0,000688148604240268	-0,00116296834312379	-0,000529875338543206	44781,4893494444
10	0,396534296618	0,394994477726	1,526008083858	1,391202179395	0,09647539258	0,233875215054	-0,000688148604240268	-0,00100469507742673	-0,00100469507742673	-0,000529875338543206	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	44781,6722666088
11	0,394843042074	0,283763488515	1,519782565386	0,967495613691	0,09647539258	0,233875215054	-0,00084642181172967	-0,000688148604240268	-0,00100469507742673	-0,000371602072846144	-0,000688148604240268	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	44781,8319142708
12	0,2838599735	0,27834100478	1,114659212454	0,949966800265	0,09647539258	0,233875215054	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000371602072846144	-0,000688148604240268	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	44781,960280706
13	0,278156804185	0,278111079082	1,093364672369	0,948355476267	0,09647539258	0,233875215054	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	44782,0869523264
14	0,27802337932	0,434009182662	1,092821922432	1,575878668904	0,09647539258	0,233875215054	-0,00084642181172967	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	-0,00084642181172967	-0,00100469507742673	-0,00116296834312379	-0,000529875338543206	44782,3181396643
15	0,43423782558	0,436052771518	1,65813603603	1,584058417162	0,09647539258	0,233875215054	-0,000688148604240268	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	-0,000688148604240268	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	44782,5926930556
16	0,435788890588	3,9758E-7	1,663313757331	1,275053E-6	0,09647539258	0,233875215054	-0,00084642181172967	-0,000688148604240268	-0,00100469507742673	-0,000371602072846144	-0,000688148604240268	-0,00084642181172967	-0,00100469507742673	-0,000371602072846144	44782,8746861921
17	0,369317970991	0,349511538011	1,428734417566	1,25051409404	0,09647539258	0,233875215054	-0,00084642181172967	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	-0,000529875338543206	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	44783,0088452778
18	0,348318472274	0,334520775371	1,347334777112	1,1974493386	0,09647539258	0,233875215054	-0,000688148604240268	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	-0,00084642181172967	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	44783,1439726736
19	0,334572894044	0,321562789522	1,295141390229	1,152213309254	0,09647539258	0,233875215054	-0,00084642181172967	-0,00100469507742673	-0,00116296834312379	-0,000529875338543206	-0,00084642181172967	-0,000688148604240268	-0,00100469507742673	-0,000529875338543206	44783,2743793403
20	0,291296534671	0,245356530443	1,154959272976	0,877140701663	0,09647539258	0,233875215054	-0,00084642181172967	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	-0,00100469507742673	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	44783,3673506713
21	0,242220524053	0,209913011622	0,963211930226	0,750550226166	0,09647539258	0,233875215054	-0,00100469507742673	-0,00084642181172967	-0,00100469507742673	-0,000529875338543206	-0,000688148604240268	-0,00084642181172967	-0,00116296834312379	-0,000529875338543206	44783,4485876273
